序号,上部温度1,上部温度2,上部温度3,上部温度4,上部温度5,上部温度6,上部温度7,上部温度8,上部温度9,上部温度10,上部温度11,上部温度12,上部温度13,上部温度14,上部温度15,上部温度16,上部温度17,下部温度1,下部温度2,下部温度3,下部温度4,下部温度5,下部温度6,下部温度7,下部温度8,下部温度9,下部温度10,下部温度11,下部温度12,下部温度13,下部温度14,下部温度15,下部温度16,下部温度17
3131,355.01,451.82,548.42,666.11,750.27,851.44,910.46,914.84,915.25,914.61,914.65,914.73,914.88,914.66,915.31,849.89,749.96,254.87,390.72,551.96,649.92,750.4,850.12,914.75,915.0,914.52,914.86,916.23,914.64,915.33,914.79,914.59,850.25,749.97
3132,355.41,451.53,548.4,666.14,750.39,851.49,910.44,914.91,915.32,914.59,914.59,914.97,914.8,914.73,915.26,850.16,750.14,264.15,390.83,551.94,649.96,750.47,850.13,914.87,914.87,914.45,914.85,916.13,914.59,915.26,914.6,914.47,850.11,749.94
3133,355.41,451.82,548.42,666.11,750.27,851.44,910.47,914.85,915.26,914.64,914.65,914.76,914.88,914.66,915.29,849.83,749.96,254.82,390.74,551.96,649.92,750.4,850.12,914.75,914.99,914.52,914.86,916.24,914.68,915.36,914.76,914.58,850.2,749.9
3134,355.41,451.54,548.4,666.14,750.4,851.49,910.4,914.99,915.27,914.76,914.51,914.89,914.81,914.77,915.39,850.1,750.27,258.55,390.63,551.87,649.78,750.35,850.12,914.88,914.77,914.52,914.85,916.17,914.74,915.24,914.67,914.46,850.23,750.07
3135,354.77,451.82,548.42,666.11,750.27,851.44,910.48,914.84,915.22,914.61,914.65,914.72,914.89,914.67,915.28,849.88,749.96,254.82,390.74,551.96,649.92,750.33,850.12,914.77,915.0,914.53,914.84,916.23,914.68,915.33,914.79,914.55,850.27,749.93
3136,355.41,451.53,548.4,666.14,750.41,851.47,910.44,914.9,915.32,914.63,914.57,914.97,914.88,914.74,915.28,850.21,750.11,257.64,390.74,551.94,649.95,750.47,850.13,914.9,914.91,914.52,914.88,916.19,914.65,915.26,914.6,914.46,850.14,749.94
3137,355.41,451.82,548.42,666.11,750.27,851.44,910.46,914.84,915.23,914.63,914.65,914.73,914.87,914.66,915.3,849.88,749.96,256.47,390.6,551.96,649.93,750.4,850.12,914.76,915.01,914.53,914.84,916.23,914.64,915.35,914.81,914.55,850.26,749.92
3138,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.86,915.26,914.64,914.67,914.77,914.91,914.64,915.34,849.88,749.93,254.92,390.6,551.96,649.92,750.2,850.12,914.74,914.97,914.53,914.89,916.21,914.68,915.29,914.73,914.54,850.13,749.91
3139,355.41,451.83,548.53,666.11,750.27,851.44,910.42,914.86,915.29,914.65,914.64,914.79,914.89,914.63,915.34,849.86,749.93,254.95,390.74,551.96,649.94,750.4,850.12,914.75,915.01,914.52,914.89,916.24,914.62,915.31,914.75,914.54,850.17,749.9
3140,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.86,915.28,914.67,914.64,914.77,914.92,914.62,915.34,849.88,749.94,254.95,390.6,552.1,649.95,750.42,850.12,914.76,915.03,914.53,914.9,916.29,914.63,915.29,914.76,914.57,850.17,749.9
3141,355.41,451.83,548.42,666.11,750.27,851.44,910.43,914.84,915.24,914.63,914.65,914.69,914.89,914.63,915.29,849.86,749.96,254.94,390.74,552.1,649.92,750.41,850.13,914.74,915.02,914.52,914.85,916.25,914.68,915.32,914.77,914.54,850.23,749.93
3142,355.41,451.83,548.42,666.11,750.27,851.44,910.43,914.86,915.26,914.64,914.65,914.75,914.93,914.63,915.31,849.83,749.93,254.94,390.74,551.96,649.92,750.4,850.12,914.77,914.98,914.52,914.88,916.28,914.68,915.33,914.74,914.57,850.22,749.91
3143,355.41,451.83,548.42,666.11,750.27,851.44,910.44,914.84,915.24,914.63,914.65,914.7,914.89,914.65,915.28,849.86,749.96,254.94,390.6,551.96,649.92,750.4,850.13,914.76,915.0,914.53,914.84,916.23,914.68,915.33,914.79,914.55,850.26,749.93
3144,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.86,915.29,914.64,914.63,914.77,914.95,914.59,915.34,849.87,749.94,255.02,390.74,551.96,649.92,750.4,850.12,914.74,915.0,914.53,914.91,916.26,914.67,915.29,914.76,914.56,850.15,749.9
3145,355.41,451.83,548.42,666.11,750.27,851.44,910.47,914.86,915.28,914.65,914.66,914.78,914.93,914.64,915.34,849.88,749.93,255.02,390.6,551.96,649.93,750.4,850.13,914.76,915.0,914.53,914.9,916.27,914.68,915.32,914.75,914.56,850.18,749.91
3146,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.89,915.27,914.74,914.67,914.78,915.06,914.63,915.25,849.91,749.94,255.04,390.6,551.77,649.68,750.39,850.12,914.74,915.0,914.54,914.88,916.24,914.61,915.27,914.74,914.57,850.21,749.83
3147,356.05,451.83,548.42,665.83,750.27,851.27,910.47,914.86,915.26,914.62,914.65,914.77,914.91,914.62,915.35,849.86,749.93,255.0,390.6,551.96,649.93,750.2,850.13,914.77,914.96,914.53,914.9,916.23,914.68,915.31,914.73,914.54,850.21,749.91
3148,355.41,451.83,548.53,666.11,750.27,851.44,910.42,914.86,915.27,914.65,914.63,914.77,914.93,914.59,915.34,849.87,749.93,254.59,390.6,552.1,649.93,750.21,850.12,914.74,914.98,914.53,914.91,916.26,914.68,915.28,914.75,914.56,850.18,749.9
3149,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.85,915.24,914.64,914.64,914.74,914.91,914.63,915.27,849.83,749.97,255.01,390.6,552.08,649.93,750.41,850.12,914.74,915.0,914.53,914.9,916.29,914.68,915.31,914.77,914.6,850.31,749.93
3150,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.86,915.28,914.65,914.64,914.77,914.95,914.62,915.34,849.88,749.94,255.06,390.6,552.1,649.93,750.41,850.12,914.74,915.0,914.54,914.91,916.28,914.68,915.29,914.76,914.54,850.18,749.88
3151,355.41,451.67,548.42,666.11,750.28,851.43,910.47,914.86,915.25,914.63,914.64,914.77,914.92,914.61,915.31,849.89,749.93,255.08,390.6,551.82,649.69,750.37,850.12,914.74,915.0,914.55,914.92,916.28,914.63,915.25,914.75,914.56,850.14,749.82
3152,355.41,451.83,548.65,666.11,750.28,851.44,910.4,914.85,915.23,914.64,914.62,914.75,915.02,914.66,915.3,849.88,749.94,255.09,390.6,551.82,649.67,750.18,850.13,914.72,914.97,914.54,914.87,916.26,914.7,915.22,914.74,914.55,850.23,749.89
3153,356.45,451.83,548.53,665.83,750.27,851.28,910.41,914.85,915.24,914.64,914.61,914.75,914.96,914.62,915.28,849.86,749.97,254.64,390.6,551.96,649.92,750.2,850.13,914.74,914.97,914.53,914.85,916.23,914.69,915.32,914.75,914.57,850.25,749.94
3154,355.41,451.83,548.53,666.11,750.27,851.43,910.41,914.86,915.28,914.65,914.63,914.77,914.93,914.63,915.34,849.89,749.93,255.06,390.74,551.96,649.93,750.27,850.12,914.72,915.01,914.53,914.9,916.25,914.64,915.3,914.77,914.56,850.17,749.87
3155,355.41,451.83,548.42,666.11,750.27,851.43,910.43,914.84,915.24,914.64,914.67,914.71,914.9,914.64,915.29,849.89,749.97,254.99,390.6,551.96,649.92,750.17,850.13,914.75,914.99,914.53,914.89,916.22,914.66,915.33,914.74,914.57,850.19,749.95
3156,355.41,451.83,548.65,666.2,750.27,851.44,910.4,914.84,915.24,914.65,914.61,914.75,915.03,914.61,915.28,849.83,749.97,254.68,390.74,552.1,649.93,750.39,850.12,914.72,915.01,914.53,914.89,916.28,914.69,915.23,914.77,914.56,850.27,749.94
3157,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.88,915.24,914.64,914.64,914.76,914.94,914.6,915.34,849.82,749.93,255.06,390.6,552.08,649.93,750.41,850.13,914.74,914.98,914.53,914.94,916.29,914.68,915.3,914.75,914.6,850.28,749.92
3158,355.41,451.83,548.53,666.11,750.28,851.44,910.41,914.86,915.28,914.65,914.66,914.76,914.92,914.6,915.33,849.87,749.93,255.07,390.6,551.96,649.93,750.2,850.13,914.74,914.97,914.53,914.91,916.26,914.69,915.29,914.74,914.56,850.17,749.92
3159,355.41,451.83,548.53,666.11,750.28,851.44,910.41,914.86,915.27,914.65,914.64,914.77,914.96,914.63,915.34,849.88,749.94,255.05,390.6,551.94,649.93,750.4,850.13,914.72,915.02,914.54,914.91,916.28,914.63,915.27,914.75,914.59,850.19,749.84
3160,355.41,451.54,548.5,666.14,750.42,851.44,910.41,914.93,915.23,914.67,914.57,914.88,914.99,914.63,915.2,850.15,750.21,254.86,390.64,551.78,649.67,750.3,850.14,914.8,914.9,914.56,914.93,916.26,914.61,915.19,914.69,914.47,850.15,750.04
3161,355.41,451.67,548.53,666.11,750.28,851.44,910.41,914.9,915.33,914.7,914.67,914.73,915.03,914.57,915.24,849.89,749.94,254.7,390.6,551.94,649.6,750.26,850.13,914.73,914.98,914.53,914.92,916.28,914.66,915.24,914.72,914.62,850.15,749.82
3162,358.84,451.84,548.53,665.39,750.28,851.29,910.46,914.9,915.24,914.72,914.69,914.72,914.9,914.58,915.31,849.9,749.93,253.94,390.6,551.94,649.65,750.3,850.13,914.75,914.98,914.55,914.93,916.28,914.62,915.19,914.75,914.6,850.15,749.87
3163,355.41,451.67,548.53,666.11,750.3,851.44,910.4,914.87,915.27,914.67,914.67,914.74,915.0,914.57,915.33,849.85,749.95,254.21,390.6,552.08,649.94,750.26,850.13,914.73,914.98,914.54,914.92,916.3,914.69,915.27,914.75,914.59,850.2,749.88
3164,356.45,451.67,548.53,665.39,750.26,851.27,910.41,914.9,915.24,914.67,914.66,914.74,914.96,914.57,915.33,849.86,749.95,253.83,390.6,552.08,649.94,750.27,850.13,914.71,915.0,914.54,914.92,916.28,914.64,915.26,914.73,914.59,850.19,749.92
3165,355.41,451.67,548.65,666.11,750.27,851.44,910.4,914.85,915.25,914.67,914.65,914.75,915.04,914.63,915.35,849.89,750.04,254.34,390.6,552.08,649.94,750.48,850.13,914.68,914.99,914.56,914.93,916.31,914.67,915.17,914.77,914.58,850.15,749.92
3166,355.41,451.67,548.53,666.2,750.27,851.44,910.45,914.9,915.19,914.73,914.65,914.73,915.05,914.61,915.28,849.92,749.98,252.83,390.57,551.94,649.6,750.44,850.14,914.74,915.01,914.56,914.95,916.32,914.59,915.2,914.72,914.63,850.18,749.78
3167,359.51,451.84,548.65,665.39,750.28,851.29,910.4,914.88,915.16,914.72,914.65,914.71,915.0,914.64,915.36,849.87,749.99,252.99,390.6,551.94,649.62,750.27,850.12,914.71,915.02,914.56,914.94,916.28,914.64,915.2,914.76,914.62,850.16,749.9
3168,356.97,451.67,548.53,665.39,750.32,851.27,910.46,914.9,915.24,914.72,914.65,914.73,915.01,914.58,915.27,849.93,749.94,252.88,390.6,551.94,649.6,750.25,850.13,914.73,914.99,914.55,914.9,916.29,914.58,915.2,914.71,914.6,850.19,749.77
3169,359.51,451.84,548.65,665.39,750.31,851.29,910.45,914.88,915.19,914.74,914.65,914.74,915.11,914.65,915.23,849.92,749.9,252.84,390.6,551.94,649.6,750.24,850.13,914.72,915.03,914.56,914.88,916.29,914.64,915.15,914.71,914.63,850.11,749.81
3170,357.15,451.67,548.65,665.39,750.3,851.29,910.45,914.91,915.14,914.8,914.66,914.72,915.12,914.65,915.22,849.91,749.94,252.84,390.6,551.94,649.57,750.23,850.11,914.71,915.03,914.57,914.88,916.22,914.68,915.2,914.78,914.66,850.19,749.76
3171,356.45,451.67,548.65,665.39,750.31,851.27,910.45,914.9,915.18,914.8,914.63,914.76,915.13,914.66,915.27,849.93,749.93,252.25,390.6,551.94,649.57,750.25,850.11,914.79,915.01,914.56,914.84,916.29,914.65,915.2,914.76,914.64,850.19,749.78
3172,357.15,451.67,548.65,665.39,750.3,851.29,910.45,914.89,915.15,914.83,914.67,914.75,915.12,914.64,915.25,849.93,749.96,252.87,390.6,551.94,649.57,750.24,850.12,914.72,914.98,914.56,914.92,916.29,914.62,915.18,914.74,914.63,850.24,749.77
3173,355.41,451.67,548.65,666.2,750.31,851.44,910.45,914.9,915.21,914.74,914.66,914.74,915.09,914.64,915.25,849.94,749.98,252.92,390.6,551.94,649.6,750.44,850.14,914.72,914.97,914.56,914.9,916.33,914.65,915.14,914.72,914.62,850.21,749.8
3174,355.41,451.67,548.53,666.2,750.3,851.43,910.46,914.9,915.16,914.82,914.65,914.75,915.05,914.59,915.24,849.94,749.92,253.93,390.57,551.94,649.57,750.37,850.12,914.72,914.99,914.55,914.89,916.3,914.62,915.24,914.76,914.65,850.24,749.74
3175,358.84,451.84,548.65,665.39,750.31,851.29,910.45,914.87,915.21,914.78,914.66,914.7,915.1,914.64,915.25,849.92,749.95,252.92,390.57,551.94,649.56,750.23,850.12,914.7,915.04,914.56,914.9,916.3,914.66,915.16,914.71,914.63,850.2,749.82
3176,356.45,451.67,548.53,665.92,750.31,851.27,910.45,914.87,915.21,914.74,914.67,914.76,914.96,914.59,915.26,849.89,749.95,251.97,390.6,551.94,649.6,750.26,850.12,914.74,914.98,914.56,914.93,916.29,914.62,915.2,914.72,914.63,850.18,749.77
3177,356.45,451.67,548.65,665.92,750.31,851.27,910.45,914.87,915.18,914.7,914.59,914.75,914.99,914.63,915.33,849.89,749.92,252.53,390.6,551.94,649.65,750.26,850.12,914.71,915.02,914.54,914.89,916.26,914.66,915.18,914.75,914.6,850.18,749.89
3178,355.41,451.67,548.53,666.2,750.31,851.43,910.45,914.87,915.2,914.71,914.65,914.75,915.09,914.62,915.26,849.93,749.97,251.39,390.6,551.94,649.6,750.25,850.13,914.75,914.98,914.56,914.87,916.25,914.62,915.2,914.72,914.63,850.22,749.75
3179,358.24,451.67,548.53,665.39,750.31,851.29,910.45,914.88,915.15,914.77,914.68,914.75,914.95,914.6,915.35,849.88,749.93,250.81,390.6,551.94,649.62,750.26,850.11,914.74,914.98,914.56,914.86,916.28,914.63,915.25,914.77,914.6,850.16,749.88
3180,360.05,451.84,548.65,665.39,750.3,851.29,910.45,914.88,915.14,914.84,914.67,914.74,915.11,914.63,915.24,849.92,749.94,251.18,390.6,551.94,649.57,750.23,850.11,914.73,915.01,914.57,914.87,916.24,914.63,915.16,914.74,914.6,850.19,749.82
3181,356.45,451.67,548.53,665.39,750.31,851.27,910.45,914.87,915.17,914.7,914.65,914.75,915.0,914.63,915.28,849.89,750.0,251.17,390.57,551.94,649.6,750.25,850.13,914.76,914.98,914.56,914.92,916.25,914.64,915.2,914.72,914.63,850.18,749.82
3182,358.84,452.0,548.65,665.39,750.31,851.29,910.45,914.87,915.16,914.73,914.64,914.74,914.97,914.67,915.28,849.88,749.93,251.15,390.6,551.99,649.57,750.25,850.11,914.73,915.02,914.56,914.87,916.29,914.63,915.14,914.77,914.6,850.16,749.84
3183,358.24,451.67,548.65,665.39,750.31,851.29,910.45,914.87,915.16,914.78,914.71,914.76,915.08,914.66,915.26,849.93,749.95,250.87,390.6,551.94,649.57,750.24,850.11,914.73,914.98,914.56,914.87,916.29,914.6,915.15,914.74,914.6,850.16,749.82
3184,355.41,451.67,548.65,666.2,750.31,851.43,910.45,914.88,915.17,914.76,914.6,914.75,915.14,914.6,915.23,849.93,749.96,251.16,390.6,551.94,649.57,750.24,850.11,914.7,915.02,914.56,914.89,916.29,914.6,915.19,914.72,914.6,850.2,749.78
3185,359.51,451.84,548.53,665.39,750.31,851.29,910.45,914.88,915.15,914.78,914.66,914.75,914.96,914.65,915.37,849.88,749.96,250.92,390.6,552.08,649.91,750.24,850.11,914.75,914.98,914.56,914.88,916.24,914.66,915.27,914.76,914.63,850.16,749.89
3186,355.41,451.72,548.24,666.17,750.29,851.44,910.44,914.84,915.14,914.78,914.56,914.75,914.83,914.57,915.35,849.89,749.95,252.18,390.22,551.93,649.88,750.38,850.11,914.78,914.95,914.78,914.79,915.61,914.62,915.18,914.86,914.56,850.14,749.73
3187,355.41,451.83,548.53,666.11,750.3,851.44,910.45,914.89,915.21,914.7,914.66,914.75,914.94,914.64,915.33,849.89,750.03,253.29,390.6,552.08,649.94,750.45,850.13,914.74,915.01,914.56,914.93,916.31,914.64,915.25,914.78,914.59,850.2,749.88
3188,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.86,915.27,914.65,914.65,914.77,914.93,914.6,915.34,849.86,749.95,253.27,390.6,551.96,649.93,750.44,850.13,914.74,915.0,914.54,914.91,916.27,914.67,915.29,914.77,914.56,850.18,749.89
3189,356.45,451.83,548.53,666.11,750.27,851.27,910.41,914.88,915.28,914.65,914.67,914.75,914.92,914.61,915.33,849.86,749.94,253.12,390.6,551.94,649.93,750.17,850.13,914.72,915.0,914.53,914.94,916.27,914.6,915.28,914.75,914.59,850.19,749.85
3190,355.41,451.83,548.53,666.11,750.27,851.44,910.4,914.85,915.25,914.65,914.61,914.75,914.97,914.62,915.29,849.84,749.94,252.82,390.6,552.1,649.93,750.41,850.13,914.73,914.99,914.54,914.91,916.29,914.68,915.31,914.76,914.57,850.25,749.92
3191,355.41,451.83,548.42,666.11,750.27,851.44,910.43,914.86,915.29,914.64,914.66,914.76,914.93,914.6,915.32,849.85,749.93,253.15,390.6,552.08,649.93,750.41,850.13,914.76,915.03,914.53,914.92,916.29,914.63,915.31,914.75,914.59,850.2,749.91
3192,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.86,915.29,914.67,914.63,914.75,914.94,914.59,915.33,849.87,749.94,253.13,390.6,552.1,649.95,750.29,850.13,914.75,915.01,914.53,914.9,916.26,914.64,915.29,914.76,914.56,850.13,749.9
3193,356.45,451.83,548.53,665.83,750.27,851.28,910.41,914.86,915.26,914.67,914.66,914.75,914.94,914.59,915.34,849.86,749.94,253.09,390.6,552.08,649.94,750.2,850.13,914.75,915.0,914.53,914.9,916.27,914.65,915.28,914.75,914.56,850.15,749.95
3194,355.41,451.83,548.53,666.11,750.26,851.44,910.41,914.89,915.27,914.65,914.65,914.75,914.9,914.74,915.26,849.87,749.95,252.83,390.6,552.25,649.93,750.49,850.14,914.73,915.02,914.5,914.91,916.24,914.64,915.3,914.73,914.58,850.31,749.93
3195,355.44,451.83,548.53,666.11,750.3,851.43,910.43,914.86,915.25,914.65,914.64,914.77,914.94,914.62,915.33,849.88,749.93,253.21,390.6,552.1,649.94,750.38,850.13,914.72,915.0,914.53,914.91,916.3,914.62,915.26,914.76,914.56,850.15,749.83
3196,355.01,451.83,548.42,666.11,750.27,851.43,910.47,914.86,915.3,914.63,914.67,914.76,914.95,914.61,915.34,849.85,749.93,253.28,390.6,551.94,649.93,750.37,850.13,914.75,914.97,914.53,914.91,916.27,914.64,915.32,914.73,914.56,850.23,749.92
3197,355.41,451.83,548.42,666.11,750.27,851.43,910.43,914.86,915.24,914.67,914.68,914.77,914.95,914.6,915.33,849.86,749.94,253.16,390.6,552.08,649.94,750.22,850.13,914.74,914.98,914.53,914.92,916.3,914.7,915.33,914.74,914.6,850.27,749.9
3198,355.44,451.83,548.53,666.11,750.18,851.44,910.43,914.9,915.29,914.79,914.71,914.95,914.93,914.57,915.35,849.87,750.04,253.31,390.6,552.08,649.86,750.34,850.12,914.71,914.97,914.52,914.94,916.28,914.68,915.23,914.78,914.61,850.13,749.82
3199,355.41,451.83,548.53,666.11,750.27,851.44,910.41,914.9,915.28,914.65,914.64,914.76,914.93,914.6,915.34,849.86,749.93,253.11,390.6,552.08,649.93,750.45,850.13,914.72,915.03,914.53,914.94,916.3,914.63,915.29,914.74,914.59,850.21,749.9
3200,355.41,451.67,548.53,666.2,750.32,851.43,910.45,914.87,915.09,914.77,914.65,914.76,914.97,914.62,915.34,849.88,749.93,251.72,390.6,551.99,649.62,750.45,850.11,914.73,914.99,914.56,914.85,916.27,914.65,915.25,914.78,914.61,850.22,749.76
3201,355.18,451.82,548.39,666.11,750.29,851.44,910.48,914.87,915.24,914.62,914.66,914.81,914.89,914.66,915.3,849.88,749.97,253.19,390.82,551.89,649.92,750.38,850.12,914.74,914.97,914.52,914.88,916.23,914.68,915.34,914.76,914.58,850.25,749.91
3202,355.18,451.81,548.44,666.06,750.31,851.43,910.65,914.79,915.06,914.71,914.68,914.84,915.02,914.55,915.13,850.1,750.05,254.59,391.13,551.92,649.69,750.4,850.11,914.72,914.92,914.55,914.86,916.07,914.56,915.19,914.81,914.6,850.24,749.78
3203,354.96,451.79,548.49,666.41,750.24,851.4,910.69,914.91,915.17,914.71,914.62,914.79,914.94,914.63,915.27,849.84,750.08,257.63,392.23,552.65,649.87,750.33,850.11,914.84,914.94,914.5,914.8,916.15,914.59,915.36,914.69,914.69,850.31,749.6
3204,355.41,451.82,548.39,666.11,750.27,851.44,910.46,914.86,915.22,914.63,914.65,914.78,914.87,914.66,915.3,849.88,749.96,253.32,390.71,551.89,649.92,750.29,850.12,914.73,915.0,914.53,914.89,916.18,914.69,915.35,914.81,914.56,850.19,749.83
3205,350.66,451.61,548.42,666.11,750.27,851.44,910.47,914.84,915.22,914.61,914.65,914.79,914.87,914.71,915.31,849.91,749.97,253.24,390.82,552.06,649.92,750.33,850.12,914.74,914.95,914.51,914.85,916.22,914.71,915.35,914.81,914.55,850.25,749.91
3206,355.01,451.82,548.42,666.11,750.29,851.44,910.46,914.84,915.22,914.61,914.65,914.73,914.89,914.66,915.31,849.91,749.87,257.53,390.82,551.89,649.92,750.31,850.12,914.71,915.0,914.53,914.87,916.18,914.67,915.32,914.79,914.58,850.21,749.83
3207,355.41,451.82,548.42,666.11,750.19,851.45,910.44,914.91,915.26,914.77,914.71,914.96,914.91,914.63,915.36,849.89,750.05,253.32,390.82,551.99,649.85,750.42,850.11,914.73,915.0,914.5,914.92,916.23,914.64,915.33,914.8,914.6,850.06,749.81
3208,355.01,451.82,548.39,666.11,750.27,851.44,910.46,914.79,915.17,914.61,914.64,914.73,914.88,914.7,915.28,849.92,749.96,253.25,390.81,551.97,649.94,750.32,850.12,914.75,915.01,914.52,914.86,916.18,914.7,915.35,914.79,914.56,850.27,749.83
3209,355.01,451.82,548.42,666.11,750.29,851.44,910.46,914.84,915.16,914.61,914.68,914.79,914.89,914.67,915.29,849.93,749.96,253.28,390.82,551.9,649.92,750.3,850.12,914.74,914.99,914.52,914.88,916.22,914.61,915.35,914.79,914.56,850.25,749.91
3210,355.01,451.82,548.39,666.11,750.27,851.44,910.46,914.84,915.22,914.61,914.64,914.76,914.89,914.66,915.31,849.89,749.96,253.48,390.81,551.96,649.92,750.31,850.12,914.75,915.01,914.53,914.89,916.18,914.64,915.34,914.79,914.57,850.23,749.93
3211,355.41,451.82,548.42,666.11,750.27,851.44,910.43,914.82,915.17,914.63,914.65,914.75,914.9,914.71,915.3,849.89,749.96,253.48,390.82,551.9,649.92,750.37,850.12,914.73,915.0,914.53,914.87,916.18,914.7,915.36,914.81,914.56,850.19,749.83
3212,352.55,451.61,548.42,666.11,750.2,851.45,910.43,914.83,915.15,914.74,914.67,914.95,914.91,914.6,915.33,849.95,750.04,255.07,390.82,552.04,649.88,750.34,850.1,914.8,914.98,914.54,914.94,916.23,914.66,915.34,914.82,914.62,850.13,749.8
3213,355.01,451.83,548.42,666.11,750.28,851.44,910.46,914.84,915.19,914.63,914.65,914.79,914.88,914.71,915.31,849.89,749.96,253.46,390.82,551.9,649.91,750.25,850.14,914.75,915.0,914.53,914.89,916.18,914.7,915.36,914.77,914.55,850.23,749.82
3214,355.41,451.82,548.42,666.11,750.27,851.44,910.46,914.82,915.17,914.64,914.65,914.77,914.9,914.65,915.32,849.89,749.96,253.61,390.82,551.97,649.92,750.32,850.1,914.73,915.01,914.52,914.87,916.18,914.6,915.35,914.81,914.59,850.19,749.91
3215,355.41,451.82,548.42,666.11,750.29,851.44,910.46,914.84,915.22,914.65,914.66,914.76,914.89,914.65,915.31,849.89,749.88,257.76,390.82,551.96,649.92,750.33,850.12,914.73,915.01,914.53,914.87,916.19,914.73,915.32,914.81,914.59,850.17,749.83
3216,352.55,451.61,548.42,666.11,750.29,851.44,910.48,914.86,915.22,914.61,914.66,914.79,914.88,914.67,915.28,849.86,749.96,254.99,390.82,552.05,649.92,750.31,850.12,914.73,914.98,914.52,914.88,916.23,914.67,915.36,914.78,914.59,850.25,749.91
3217,353.9,451.82,548.42,666.11,750.27,851.44,910.47,914.81,915.17,914.63,914.65,914.77,914.88,914.69,915.29,849.92,749.97,253.34,390.82,551.9,649.94,750.3,850.12,914.74,914.99,914.53,914.88,916.18,914.69,915.37,914.79,914.56,850.27,749.82
3218,355.18,451.82,548.42,666.11,750.27,851.44,910.47,914.86,915.22,914.61,914.66,914.75,914.89,914.67,915.32,849.91,749.87,257.62,390.82,551.89,649.92,750.31,850.12,914.73,914.99,914.52,914.89,916.18,914.64,915.35,914.81,914.58,850.23,749.9
3219,355.18,452.96,548.47,666.32,750.12,851.4,910.5,914.82,915.15,914.75,914.63,914.72,915.0,914.62,915.36,849.8,750.02,257.62,391.01,552.08,650.92,750.31,850.09,914.75,914.96,914.54,914.87,916.17,914.95,915.22,914.76,914.81,850.29,749.88
3220,354.77,451.82,548.42,666.11,750.27,851.44,910.47,914.83,915.24,914.63,914.65,914.79,914.9,914.68,915.31,849.91,749.97,253.39,390.82,551.89,649.92,750.36,850.12,914.74,914.99,914.53,914.88,916.18,914.7,915.35,914.8,914.58,850.23,749.83
3221,353.9,451.82,548.42,666.11,750.29,851.44,910.42,914.78,915.16,914.62,914.64,914.77,914.89,914.66,915.32,849.9,749.85,255.03,390.82,551.97,649.94,750.32,850.1,914.73,915.0,914.53,914.86,916.18,914.63,915.35,914.81,914.59,850.27,749.85
3222,355.18,451.82,548.42,666.11,750.27,851.44,910.47,914.84,915.22,914.63,914.64,914.74,914.9,914.68,915.31,849.9,749.97,253.43,390.82,551.96,649.92,750.31,850.12,914.75,915.01,914.53,914.88,916.18,914.71,915.35,914.77,914.6,850.23,749.85
3223,354.77,451.82,548.42,666.11,750.28,851.44,910.41,914.84,915.18,914.62,914.68,914.76,914.9,914.83,915.25,849.94,749.98,253.46,390.82,552.16,649.95,750.34,850.11,914.74,914.97,914.5,914.88,916.1,914.73,915.36,914.74,914.57,850.31,750.04
3224,355.01,451.82,548.42,666.11,750.27,851.44,910.46,914.84,915.22,914.62,914.65,914.75,914.92,914.69,915.33,849.91,749.88,257.66,390.82,551.89,649.92,750.29,850.08,914.72,915.01,914.53,914.87,916.18,914.69,915.35,914.8,914.57,850.23,749.83
3225,355.18,451.83,548.42,666.11,750.29,851.44,910.47,914.84,915.22,914.62,914.67,914.79,914.89,914.7,915.33,849.91,749.97,255.03,390.82,551.89,649.92,750.24,850.11,914.73,914.96,914.53,914.88,916.18,914.7,915.35,914.77,914.56,850.23,749.83
3226,354.77,451.83,548.42,666.11,750.28,851.44,910.47,914.85,915.22,914.61,914.65,914.77,914.9,914.7,915.31,849.9,749.87,257.66,390.82,551.89,649.92,750.24,850.12,914.73,915.0,914.53,914.87,916.18,914.71,915.34,914.77,914.59,850.21,749.83
3227,351.45,451.61,548.42,666.11,750.29,851.44,910.42,914.8,915.15,914.61,914.65,914.79,914.92,914.71,915.29,849.92,749.88,257.66,390.82,552.0,649.94,750.3,850.12,914.73,914.97,914.53,914.88,916.18,914.69,915.34,914.81,914.55,850.25,749.83
3228,351.17,452.78,548.54,666.33,750.03,851.4,910.56,914.79,915.19,914.81,914.69,914.94,914.99,914.65,915.37,849.78,750.05,257.7,390.93,552.06,650.79,750.25,850.13,914.75,914.94,914.55,914.94,916.23,914.91,915.28,914.77,914.86,850.21,749.81
3229,352.55,451.62,548.42,666.11,750.28,851.44,910.47,914.78,915.15,914.62,914.65,914.8,914.92,914.69,915.31,849.92,749.88,257.69,390.82,552.0,649.94,750.25,850.1,914.72,914.99,914.52,914.86,916.18,914.72,915.35,914.72,914.57,850.25,749.83
